filename,fill_percent,label
img1.jpg,91,full
img2.jpg,0,clean
img3.jpg,1,clean
img4.jpg,55,moderate
img5.jpg,95,full
img6.jpg,79,full
img7.jpg,2,clean
img8.jpg,44,moderate
img9.jpg,55,moderate
img10.jpg,80,full
img11.jpg,32,moderate
img12.jpg,45,moderate
img13.jpg,30,moderate
img14.jpg,100,full
img15.jpg,100,full
img16.jpg,50,moderate
img17.jpg,70,full
img18.jpg,99,full
img19.jpg,30,moderate
img20.jpg,97,full
img21.jpg,15,clean
img22.jpg,70,full
img23.jpg,44,moderate
img24.jpg,100,full
img25.jpg,89,full
img26.jpg,78,full
img27.jpg,100,full
img28.jpg,76,full
img29.jpg,10,clean
img30.jpg,85,fire
img31.jpg,90,full
img32.jpg,85,fire
img33.jpg,85,fire
img34.jpg,0,damaged
img35.jpg,0,damaged
img36.jpg,0,damaged
img37.jpg,40,moderate
